Name,Visible,BeforeInitial,Idle,Initial,Auto,Teach,Pause,Alarm,End,Stop,GoStandby,Manual,None
SubPanel_RecipeSelect,1,0,0,3,3,3,3,3,3,0,3,0,0
BtnnLightSwitch,1,0,0,3,3,3,3,3,3,0,3,0,3
checkBoxSensorAlign,0,0,0,3,3,0,3,3,3,0,3,0,3
checkBoxPassMylar,0,0,0,3,3,3,3,3,3,0,3,3,3
checkBoxStaticEliminationBarOn,0,0,0,3,3,0,3,3,3,0,3,0,3

BtnDataTransfer,0,2,2,3,3,3,3,3,3,2,3,3,3
BtnDetectSet,1,2,2,3,3,3,3,3,3,2,3,3,3
BtnMonitorSet,1,2,2,3,3,3,3,3,3,2,3,3,3
BtnModSet,1,1,1,3,3,3,3,0,3,1,3,3,3
BtnManual,0,0,0,3,3,3,3,3,3,0,3,3,3
BtnLanguageSwitch,1,0,0,0,0,0,0,0,0,0,0,0,3
BtnTeach,0,3,3,3,3,3,3,3,3,3,3,3,3
BtnRecipe,1,1,1,3,3,3,3,3,3,1,3,3,3
BtnObjectRemoval,1,0,0,3,3,1,3,0,3,0,3,0,3
BtnIO,1,1,1,2,2,2,2,1,2,1,2,1,3
BtnMachineParameters,1,1,1,2,2,2,1,2,2,1,2,2,3
BtnGoStandby,0,3,3,3,3,3,3,3,3,0,3,0,3
BtnMaintenance,1,0,0,0,0,0,0,0,0,0,0,0,3
BtnGoHome,1,0,0,3,3,3,3,3,3,0,3,0,3
BtnMotorPoint,0,1,1,3,3,2,3,1,3,1,3,1,3
BtnMotor,1,1,1,3,3,2,3,1,3,1,3,1,3
BtnRobotAdjustment,0,1,1,3,3,2,3,1,3,1,3,1,3
BtnRobotPoint,0,1,1,3,3,2,3,1,3,1,3,1,3
BtnSCARAAdjustment,0,1,1,3,3,2,3,1,3,1,3,1,3
BtnSCARAPoint,1,1,1,3,3,2,3,1,3,1,3,1,3
BtnSCARAMove,1,1,1,3,3,2,3,1,3,1,3,1,3
BtnVision,0,1,1,2,2,2,2,2,2,1,2,1,3
BtnStop,1,3,3,0,0,0,0,0,0,3,0,0,3
BtnAuto,1,0,0,3,3,3,0,3,3,0,3,3,3
BtnPause,1,3,3,3,0,3,3,0,3,3,3,3,3
BtnLotEnd,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnLogin,1,0,0,0,0,0,0,0,0,0,0,0,3
BtnAlarmReset,1,0,0,0,0,0,0,0,0,0,0,0,3
BtnFunction,1,0,0,0,0,0,0,0,0,0,0,0,3
BtnExit,1,0,0,3,3,0,3,0,3,0,3,0,3
BtnPrePage1,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnFirstPage1,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnNextPage1,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnPrePage2,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnFirstPage2,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnNextPage2,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnPrePage3,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnFirstPage3,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnNextPage3,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnPrePage4,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnFirstPage4,1,3,3,3,3,3,3,3,3,3,3,3,3
BtnNextPage4,1,0,0,0,0,0,0,0,0,0,0,0,0
BtnTBotMove,0,1,1,2,2,2,2,2,2,1,2,1,3
BtnTBotPoint,0,1,1,2,2,2,2,2,2,1,2,1,3
